CaseNumber,CaseName,CaseCategoryDesc,CaseStatusDesc,PrimaryLaw,PrimarySection,DateFiled,SettlementDate,FedPenalty,SEPCost,TotalCompActionAmt,SettlementCnt
FL-17-0087,US19 reconstruction in Homosassa-FLR20BA80,Administrative - Formal,Final Order Issued,CWA,OTHER,,07/14/2017,0,0,0,1
FL-17-0105,"Fort Walton Concrete, FLG110435",Administrative - Formal,Closed,CWA,OTHER,,09/08/2017,0,0,0,1
FL-17-0116,Fpl Lauderdale Plant-FL0001503,Administrative - Formal,Closed,CWA,OTHER,,04/18/2017,0,0,0,1
FL-17-0225,Town of Jupiter Island Florida FL0184152,Administrative - Formal,Closed,CWA,OTHER,,02/08/2018,0,0,0,1
FL-17-0284,Ideal Mobile Home Park WWTF FL0023426,Administrative - Formal,Closed,CWA,OTHER,,04/08/2019,0,0,0,1
FL-17-0960,Holly Hill WWTF FL0027677,Administrative - Formal,Closed,CWA,OTHER,,11/06/2017,0,0,0,1
FL-17-0970,The Fountains Addition-FLR10PW80,Administrative - Formal,Final Order Issued,CWA,OTHER,,10/02/2017,0,0,0,1
FL-17-1025,Gulf Coast Solar Center 1 - Eglin AFB-FLR10PW73,Administrative - Formal,Final Order Issued,CWA,OTHER,,11/01/2017,0,0,0,1
FL-17-1028,Pensacola Office & Shop-FLR05G030,Administrative - Formal,Final Order Issued,CWA,OTHER,,11/08/2017,0,0,0,1
FL-17-1034,"Georgia-Pacific CO, LLC FL0002763",Administrative - Formal,Closed,CWA,OTHER,,12/12/2017,0,0,0,1
FL-17-1047,"GULF COAST UTILITY CONTRACTORS, LLC",Administrative - Formal,Final Order Issued,CWA,OTHER,,11/08/2017,0,0,0,1
FL-17-1147,"CGA Stone Casting, LLC",Administrative - Formal,Closed,CWA,OTHER,,04/19/2018,0,0,0,1
FL-17-1204,City of Bunnell FL0020907,Administrative - Formal,Closed,CWA,OTHER,,01/17/2019,0,0,0,1
FL-17-1210,JEA,Administrative - Formal,Closed,CWA,OTHER,,02/26/2018,0,0,0,1
FL-17-1212,Clay County Utility Authority,Administrative - Formal,Closed,CWA,OTHER,,05/23/2018,0,0,0,1
FL-17-1224,Gulf Power Company FL0002275,Administrative - Formal,Final Order Issued,CWA,OTHER,,01/25/2018,0,0,0,1
FL-18-0025,Fort Pierce Utilities Authority FL0027278,Administrative - Formal,Closed,CWA,OTHER,,02/14/2018,0,0,0,1
FL-18-0037,City of Arcadia William Tyson WWTP FL0027511,Administrative - Formal,Final Order Issued,CWA,OTHER,,03/02/2022,0,0,0,2
FL-18-0059,City of Quincy FL0029033,Administrative - Formal,Final Order Issued,CWA,OTHER,,03/08/2018,0,0,0,1
FL-18-0060,City of Monticello FL0027839,Administrative - Formal,Closed,CWA,OTHER,,02/23/2018,0,0,0,1
FL-18-0071,City of Lakeland FL0039772,Administrative - Formal,Closed,CWA,OTHER,,02/28/2018,0,0,0,1
FL-18-0073,City of Tampa Howard F. Curren AWTP,Administrative - Formal,Closed,CWA,OTHER,,03/06/2018,0,0,0,1
FL-18-0074,City of Plant City FL0026557,Administrative - Formal,Closed,CWA,OTHER,,03/30/2018,0,0,0,1
FL-18-0075,Hillsborough County Public Works Department FL0027821,Administrative - Formal,Closed,CWA,OTHER,,05/09/2018,14242.83,0,0,1
FL-18-0076,Pinellas County FL0021857 FL0128937,Administrative - Formal,Closed,CWA,OTHER,,02/26/2018,0,0,0,1
FL-18-0080,Collier County South County WRF FL0141356,Administrative - Formal,Closed,CWA,OTHER,,07/18/2018,0,0,0,1
FL-18-0092,City of Atlantic Beach FL0038776,Administrative - Formal,Closed,CWA,OTHER,,03/09/2018,0,0,0,1
FL-18-0093,"Clay County Utility Authority FL0173371, FL0039721, FL0043834",Administrative - Formal,Closed,CWA,OTHER,,05/28/2018,0,0,0,1
FL-18-0094,City of St. Augustine FL0021938,Administrative - Formal,Closed,CWA,OTHER,,03/09/2018,0,0,0,1
FL-18-0095,"Gainesville Regional Utilities FL0027251, FL0112895",Administrative - Formal,Final Order Issued,CWA,OTHER,,03/16/2018,0,0,0,1
FL-18-0097,City of Palatka FL0040061,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/03/2018,0,0,0,1
FL-18-0098,City of Palm Coast FL0116009,Administrative - Formal,Closed,CWA,OTHER,,03/23/2018,0,0,0,1
FL-18-0112,Pinellas County Utilities FL0040436 and FL0128775,Administrative - Formal,Final Order Issued,CWA,OTHER,,07/09/2020,0,0,0,2
FL-18-0113,City of Palmetto WWTF FL0020401,Administrative - Formal,Closed,CWA,OTHER,,05/22/2018,0,0,0,1
FL-18-0158,City of Bradenton WWTF FL0021369,Administrative - Formal,Closed,CWA,OTHER,,04/16/2018,0,0,0,1
FL-18-0164,"Baldwin Concrete Batch Plant, FLG110740",Administrative - Formal,Final Order Issued,CWA,OTHER,,12/21/2018,0,0,0,1
FL-18-0173,Putnam County Public Works,Administrative - Formal,Closed,CWA,OTHER,,06/14/2018,0,0,0,1
FL-18-0220,"Alliance Bradford, LLC FLA116173",Administrative - Formal,Final Order Issued,CWA,OTHER,,06/22/2018,0,0,0,1
FL-18-0245,"Anastasia Island, FL0038831",Administrative - Formal,Final Order Issued,CWA,OTHER,,09/17/2018,0,0,0,1
FL-18-0246,"South Woods Elementary RO WTP, FL0429333",Administrative - Formal,Closed,CWA,OTHER,,10/01/2018,0,0,0,1
FL-18-1002,Coca-Cola North America Dunedin Juice Plant FL0000477,Administrative - Formal,Closed,CWA,OTHER,,08/08/2018,0,0,0,1
FL-18-1026,"AOC, LLC FL0029653",Administrative - Formal,Closed,CWA,OTHER,,06/21/2018,0,0,0,1
FL-18-1032,American DairyCo. - Branford Farm FLA116173,Administrative - Formal,Closed,CWA,OTHER,,06/28/2018,0,0,0,1
FL-18-1068,"North Florida Holsteins, L.C. FLA285331",Administrative - Formal,Final Order Issued,CWA,OTHER,,01/17/2019,0,0,0,1
FL-18-1074,City of Starke FL0028126,Administrative - Formal,Final Order Issued,CWA,OTHER,,10/30/2020,0,0,0,2
FL-18-1075,Bell Farm Dairy FLA285331,Administrative - Formal,Closed,CWA,OTHER,,07/24/2018,0,0,0,1
FL-18-1087,"South Cross Bayou, FL0040436",Administrative - Formal,Closed,CWA,OTHER,,07/31/2018,0,0,0,1
FL-18-1150,Pilgrim?s Pride Processing Plant FL0001465,Administrative - Formal,Closed,CWA,OTHER,,07/11/2019,0,0,0,1
FL-18-1160,Florida Power & Light Company,Administrative - Formal,Closed,CWA,OTHER,,09/26/2018,0,0,0,1
FL-18-1165,Howard F. Current AWTP FL0020940,Administrative - Formal,Closed,CWA,OTHER,,09/04/2018,0,0,0,1
FL-18-1178,Hilliard WWTF FL0043079,Administrative - Formal,Closed,CWA,OTHER,,01/08/2019,0,0,0,1
FL-18-1179,GRU John R. Kelly Generating Station FL0026646,Administrative - Formal,Closed,CWA,OTHER,,08/27/2018,0,0,0,1
FL-18-1186,City of Graceville FL0038555,Administrative - Formal,Final Order Issued,CWA,OTHER,,09/19/2018,0,0,0,1
FL-18-1197,"Mid-County Services, Inc. WWTF, FL0034789",Administrative - Formal,Closed,CWA,OTHER,,11/19/2018,0,0,0,1
FL-18-1203,Strategic Materials Inc.,Administrative - Formal,Closed,CWA,OTHER,,10/17/2018,0,0,0,1
FL-18-1212,Fleetwing Corporation,Administrative - Formal,Closed,CWA,OTHER,,01/14/2019,0,0,0,1
FL-18-1217,City of Lakeland - Glendale FL0039772,Administrative - Formal,Closed,CWA,OTHER,,09/21/2018,0,0,0,1
FL-18-1225,Titusville North - Osprey WWTP FL0103268,Administrative - Formal,Closed,CWA,OTHER,,12/20/2018,0,0,0,1
FL-18-1240,"The Chemours Company FC, LLC FL0000051, FL0000035, FL0040274, FL0435490",Administrative - Formal,Final Order Issued,CWA,OTHER,,02/07/2019,0,0,0,1
FL-18-1292,Upper Peninsula Stormwater Improvements,Administrative - Formal,Closed,CWA,OTHER,,02/28/2019,0,0,0,1
FL-18-1324,Hawk's Crest - Phase 1 - 3,Administrative - Formal,Closed,CWA,OTHER,,10/09/2018,0,0,0,1
FL-18-1337,Sunbelt Rentals - Phase 1 & 2,Administrative - Formal,Closed,CWA,OTHER,,10/16/2018,0,0,0,1
FL-18-1339,City of Sanford FL0020141,Administrative - Formal,Closed,CWA,OTHER,,01/24/2019,0,0,0,1
FL-18-1340,Bella Oaks,Administrative - Formal,Closed,CWA,OTHER,,11/08/2018,0,0,0,1
FL-18-1466,"City of Bradenton, FL0021369",Administrative - Formal,Final Order Issued,CWA,OTHER,,06/15/2020,0,0,0,2
FL-18-1509,"Falkenburg AWWTF (FL0040614), Northwest Regional WRF (FL0041670)",Administrative - Formal,Closed,CWA,OTHER,,05/02/2019,0,0,0,1
FL-18-1514,JEA - Arlington East WWTF FL0026441,Administrative - Formal,Closed,CWA,OTHER,,02/12/2019,0,0,0,1
FL-19-0004,Marsh Cove Somerset LLC FL0032654,Administrative - Formal,Closed,CWA,OTHER,,03/05/2019,0,0,0,1
FL-19-0007,Arbor Trace at Canopy,Administrative - Formal,Closed,CWA,OTHER,,01/14/2019,0,0,0,1
FL-19-0040,Old Pasco Road,Administrative - Formal,Closed,CWA,OTHER,,03/07/2019,0,0,0,1
FL-19-0051,Summit View Phase 2,Administrative - Formal,Closed,CWA,OTHER,,01/24/2019,0,0,0,1
FL-19-0055,City of Palmetto WWTF FL0020401,Administrative - Formal,Closed,CWA,OTHER,,01/31/2019,0,0,0,1
FL-19-0067,City of Port Orange FL0020559,Administrative - Formal,Closed,CWA,OTHER,,02/25/2019,0,0,0,1
FL-19-0075,Tampa Bay Downs (Unpermitted Facility),Administrative - Formal,Final Order Issued,CWA,OTHER,,04/15/2022,0,0,0,2
FL-19-0098,Milton Wastewater Treatment Facility FL0021903,Administrative - Formal,Closed,CWA,OTHER,,08/12/2019,0,0,0,1
FL-19-0101,City of Lakeland Glendale WRF FL0039772,Administrative - Formal,Closed,CWA,OTHER,,06/07/2019,0,0,0,1
FL-19-0128,Rio's Concrete Pumping and Rental FLG110715,Administrative - Formal,Final Order Issued,CWA,OTHER,,03/25/2019,0,0,0,1
FL-19-0154,Thatcher Chemical of Florida Inc.,Administrative - Formal,Final Order Issued,CWA,OTHER,,06/07/2019,0,0,0,1
FL-19-0164,Shops At 393,Administrative - Formal,Closed,CWA,OTHER,,04/11/2019,0,0,0,1
FL-19-0213,City of Mulberry WWTF FL0020338,Administrative - Formal,Closed,CWA,OTHER,,05/20/2019,0,0,0,1
FL-19-0343,Tampa Electric Company H.L. Culbreath Bayside Power Station FL0000809,Administrative - Formal,Closed,CWA,OTHER,,06/07/2019,0,0,0,1
FL-19-0358,Quality Liquid Feeds Inc.,Administrative - Formal,Closed,CWA,OTHER,,07/15/2019,0,0,0,1
FL-19-0372,"Southpoint Dairy Holdings, LLC FLA285374",Administrative - Formal,Final Order Issued,CWA,OTHER,,07/25/2019,0,0,0,1
FL-19-0527,City of Bradenton WWTF FL0021369,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/07/2019,0,0,0,1
FL-19-1179,"NAS Whiting Field, P-Ditch Repairs",Administrative - Formal,Closed,CWA,OTHER,,07/25/2019,0,0,0,1
FL-19-1182,City of New Port Richey WWTF FL0127434,Administrative - Formal,Final Order Issued,CWA,OTHER,,07/08/2019,0,0,0,1
FL-19-1297,Jennings Place,Administrative - Formal,Closed,CWA,OTHER,,07/30/2019,0,0,0,1
FL-19-1302,St. Augustine WWTP #1 FL0021938,Administrative - Formal,Final Order Issued,CWA,OTHER,,08/29/2019,0,0,0,1
FL-19-1305,City of Cocoa Beach FL0021105,Administrative - Formal,Closed,CWA,OTHER,,08/06/2019,0,0,0,1
FL-19-1455,"Normandy Boulevard & Cassat Avenue, LLC FLG914847",Administrative - Formal,Closed,CWA,OTHER,,01/08/2020,0,0,0,1
FL-19-1470,Brylington Manor Subdivision,Administrative - Formal,Closed,CWA,OTHER,,01/10/2020,0,0,0,1
FL-19-1544,Hamilton Crossing S/D,Administrative - Formal,Closed,CWA,OTHER,,04/14/2020,0,0,0,1
FL-19-1548,"Cal-Maine Foods, Inc. ? Dade City Farm 88 FLA128538",Administrative - Formal,Final Order Issued,CWA,OTHER,,11/13/2019,0,0,0,1
FL-19-1549,DIXON PRESERVE S/D,Administrative - Formal,Closed,CWA,OTHER,,04/10/2020,0,0,0,1
FL-19-1561,The Residence at Nature Creek,Administrative - Formal,Final Order Issued,CWA,OTHER,,01/27/2020,0,0,0,1
FL-19-1592,Preferred Materials Inc.-Venice Jackson Road Ready Mix FLG110166,Administrative - Formal,Closed,CWA,OTHER,,10/10/2019,0,0,0,1
FL-19-1611,Old Pasco Road,Administrative - Formal,Closed,CWA,OTHER,,11/18/2019,0,0,0,1
FL-19-1623,Ascend Performance Materials FL0002488,Administrative - Formal,Closed,CWA,OTHER,,11/14/2019,0,0,0,1
FL-19-1677,City of Palmetto WWTF FL0020401,Administrative - Formal,Closed,CWA,OTHER,,12/06/2019,0,0,0,1
FL-19-1682,City of Tampa ? Howard F. Curren AWTP FL0020940,Administrative - Formal,Final Order Issued,CWA,OTHER,,12/05/2019,0,0,0,1
FL-19-1749,Mid-County WWTP FL0034789,Administrative - Formal,Closed,CWA,OTHER,,12/04/2019,0,0,0,1
FL-19-1829,City of Titusville FL0103268,Administrative - Formal,Final Order Issued,CWA,OTHER,,01/27/2020,0,0,0,1
FL-19-1854,City of Wewahitchka FL0020125,Administrative - Formal,Closed,CWA,OTHER,,01/27/2020,0,0,0,1
FL-19-1864,Crystal Lake MobileHome Park Phase 4,Administrative - Formal,Closed,CWA,OTHER,,01/23/2020,0,0,0,1
FL-190035,MWH CONSTURCTORS INC,Administrative - Formal,Closed,CWA,OTHER,,02/08/2019,0,0,0,1
FL-20-0037,"GOT Concrete, LLC FLG110914",Administrative - Formal,Final Order Issued,CWA,OTHER,,02/19/2020,0,0,0,1
FL-20-0053,"Howard Fertilizer and Chemical Co., Inc.",Administrative - Formal,Closed,CWA,OTHER,,04/29/2020,0,0,0,1
FL-20-0054,Monterosso Apartments,Administrative - Formal,Closed,CWA,OTHER,,03/25/2020,0,0,0,1
FL-20-0066,Diamond R Fertilizer Company Inc.,Administrative - Formal,Closed,CWA,OTHER,,03/17/2020,0,0,0,1
FL-20-0067,Sun Gro Horticulture,Administrative - Formal,Closed,CWA,OTHER,,03/25/2020,0,0,0,1
FL-20-0084,South Cross Bayou FL0040436,Administrative - Formal,Closed,CWA,OTHER,,04/02/2020,0,0,0,1
FL-20-0100,"City of Clearwater Marshall St., East, and Northeast WRF FL0021857, FL0021865, FL0128937",Administrative - Formal,Closed,CWA,OTHER,,05/29/2020,0,0,0,1
FL-20-0108,Wekiva Hunt Club WWTP FL0036251,Administrative - Formal,Closed,CWA,OTHER,,09/30/2020,0,0,0,1
FL-20-0151,BCUD South Central FL0102679,Administrative - Formal,Closed,CWA,OTHER,,04/22/2020,0,0,0,1
FL-20-0187,Shelley's Septic Tanks Inc.,Administrative - Formal,Closed,CWA,OTHER,,05/14/2020,0,0,0,1
FL-20-0204,Plantation Palms Ditch Restoration,Administrative - Formal,Closed,CWA,OTHER,,04/28/2020,0,0,0,1
FL-20-0217,Gulf Power Crist Plant FL0002275,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/22/2020,0,0,0,1
FL-20-0695,Luna Trails,Administrative - Formal,Final Order Issued,CWA,OTHER,,08/20/2020,0,0,0,1
FL-20-0696,"City of Daytona Beach FL0025984, FL0111392",Administrative - Formal,Closed,CWA,OTHER,,10/29/2020,0,0,0,1
FL-20-0724,Amber Pointe/Upshot,Administrative - Formal,Final Order Issued,CWA,OTHER,,08/18/2020,0,0,0,1
FL-20-0740,Village of Tequesta FL0168572,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/04/2020,0,0,0,1
FL-20-0742,City of Lakeland-Glendale WRF FL0039772,Administrative - Formal,Closed,CWA,OTHER,,04/16/2020,0,0,0,1
FL-20-0745,City of Cocoa Beach FL0021105,Administrative - Formal,Closed,CWA,OTHER,,04/14/2020,0,0,0,1
FL-20-0753,Northwest Regional AWWTP FL0041670,Administrative - Formal,Closed,CWA,OTHER,,05/04/2020,0,0,0,1
FL-20-0764,City of Winter Garden WWTP FL0020109,Administrative - Formal,Closed,CWA,OTHER,,04/28/2020,0,0,0,1
FL-20-0771,Scrap It LLC,Administrative - Formal,Closed,CWA,OTHER,,06/16/2020,0,0,0,1
FL-20-0773,Neptune Beach WWTF FL0020427,Administrative - Formal,Final Order Issued,CWA,OTHER,,08/11/2020,0,0,0,1
FL-20-0780,Palm Coast WWTF #1 FL0116009,Administrative - Formal,Closed,CWA,OTHER,,05/11/2020,0,0,0,1
FL-20-0791,Florida Keys Wild Bird Rehabilitation Center FL0969184,Administrative - Formal,Final Order Issued,CWA,OTHER,,11/12/2021,0,0,0,4
FL-20-0796,Broward County North Regional WWTP  FL0031771,Administrative - Formal,Closed,CWA,OTHER,,11/16/2020,0,0,0,1
FL-20-0827,Georgia-Pacific (Palatka Pulp & Paper) FL0002763,Administrative - Formal,Closed,CWA,OTHER,,05/21/2020,0,0,0,1
FL-20-0851,City of Fort Myers,Administrative - Formal,Final Order Issued,CWA,OTHER,,02/23/2021,0,0,0,1
FL-20-0869,Braden River Utilities FL0824381,Administrative - Formal,Closed,CWA,OTHER,,05/29/2020,0,0,0,1
FL-20-0873,City of Fernandina Beach WWTF FL0027260,Administrative - Formal,Closed,CWA,OTHER,,05/21/2020,0,0,0,1
FL-20-0878,South County Regional AWWTP FL0028061,Administrative - Formal,Final Order Issued,CWA,OTHER,,06/26/2020,0,0,0,1
FL-20-0882,"Foley Cellulose, LLC FL0000876",Administrative - Formal,Final Order Issued,CWA,OTHER,,06/03/2020,0,0,0,1
FL-20-1082,Titan America LLC FLG110581,Administrative - Formal,Closed,CWA,OTHER,,07/28/2020,0,0,0,1
FL-20-1101,FL0002763 Georgia-Pacific (Palatka Pulp & Paper),Administrative - Formal,Final Order Issued,CWA,OTHER,,09/29/2020,0,0,0,1
FL-20-1107,Roosevelt Square,Administrative - Formal,Final Order Issued,CWA,OTHER,,08/06/2020,0,0,0,1
FL-20-1122,Goodbread MHP WWTF FL0032662,Administrative - Formal,Closed,CWA,OTHER,,10/12/2020,0,0,0,1
FL-20-1134,Seacoast Utility Authority FL0038768,Administrative - Formal,Closed,CWA,OTHER,,08/25/2020,0,0,0,1
FL-20-1140,"Southpoint Dairy Holdings, LLC FLA285374",Administrative - Formal,Final Order Issued,CWA,OTHER,,12/22/2020,0,0,0,1
FL-20-1141,Loxahatchee River Environmental Control District FL0034649,Administrative - Formal,Closed,CWA,OTHER,,08/21/2020,0,0,0,1
FL-20-1194,Orange County Eastern Water reclamation Facility FL0038849,Administrative - Formal,Final Order Issued,CWA,OTHER,,12/14/2020,0,0,0,1
FL-20-1216,BAE Systems Jacksonville FL0040592,Administrative - Formal,Final Order Issued,CWA,OTHER,,09/18/2020,0,0,0,1
FL-20-1244,Southeast Regional WRF and Master Reuse System FL0474029,Administrative - Formal,Closed,CWA,OTHER,,10/20/2020,0,0,0,1
FL-20-1256,Juice Bowl Products Inc.,Administrative - Formal,Final Order Issued,CWA,OTHER,,09/10/2020,0,0,0,1
FL-20-1293,City of Palmetto WWTP FL0020401,Administrative - Formal,Closed,CWA,OTHER,,10/07/2020,0,0,0,1
FL-20-1304,City of Cocoa FL0021521,Administrative - Formal,Final Order Issued,CWA,OTHER,,01/25/2021,0,0,0,1
FL-20-1321North Flor,"North Florida Holsteins, LLC FLA282821",Administrative - Formal,Final Order Issued,CWA,OTHER,,10/13/2021,0,0,0,1
FL-20-1358,Creekside Townhomes,Administrative - Formal,Final Order Issued,CWA,OTHER,,11/09/2020,0,0,0,1
FL-20-1368,South Cross Bayou FL0040436,Administrative - Formal,Closed,CWA,OTHER,,10/27/2020,0,0,0,1
FL-20-1385,"Macclenny WWTF, FL0040495",Administrative - Formal,Closed,CWA,OTHER,,06/03/2021,0,0,0,1
FL-20-1457,City of Ormond Beach FL20532,Administrative - Formal,Final Order Issued,CWA,OTHER,,02/23/2021,0,0,0,1
FL-20-1500,Orlando/Iron Bridge WRF FL0037966,Administrative - Formal,Closed,CWA,OTHER,,12/04/2020,0,0,0,1
FL-20-1504,Everest Parkway FL0030007,Administrative - Formal,Closed,CWA,OTHER,,11/30/2020,0,0,0,1
FL-20-1531,Port Orange Reclamation Facility - FL0020532,Administrative - Formal,Closed,CWA,OTHER,,02/22/2021,0,0,0,1
FL-20-1649,Avon Park Correctional Institute WWTF FL0040029,Administrative - Formal,Closed,CWA,OTHER,,02/01/2021,0,0,0,1
FL-20-1674,Former Hidden Creek Executive Golf Course,Administrative - Formal,Closed,CWA,OTHER,,04/21/2021,0,0,0,1
FL-21-0045,"Howard F. Curren AWTP, City of Tampa FL0020940",Administrative - Formal,Closed,CWA,OTHER,,03/03/2021,0,0,0,1
FL-21-0087,City of Daytona Beach FL0111392,Administrative - Formal,Closed,CWA,OTHER,,05/06/2021,0,0,0,1
FL-21-0104,Mosaic - Bartow Chemical Plant FL0001589,Administrative - Formal,Final Order Issued,CWA,OTHER,,02/17/2021,0,0,0,1
FL-21-0113,City of Titusville Osprey WWTP FL0103268,Administrative - Formal,Final Order Issued,CWA,OTHER,,06/16/2021,0,0,0,1
FL-21-0114,City of Cocoa Beach FL0021105,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/21/2021,0,0,0,1
FL-21-0180,Brevard County Utilities FL0102679,Administrative - Formal,Final Order Issued,CWA,OTHER,,03/25/2021,0,0,0,1
FL-21-0210,City of Sanford FL0020141,Administrative - Formal,Final Order Issued,CWA,OTHER,,06/23/2021,0,0,0,1
FL-21-0212,17-92 Reclaim Water Main FLG072612,Administrative - Formal,Final Order Issued,CWA,OTHER,,03/26/2021,0,0,0,1
FL-21-0251,"Patriots Ridge Subdivision Phase 2, 3, and 4",Administrative - Formal,Closed,CWA,OTHER,,07/08/2021,0,0,0,1
FL-21-0305,Venice Eastside WWTP FL0041441,Administrative - Formal,Closed,CWA,OTHER,,04/21/2021,0,0,0,1
FL-21-0356,City of Winter Garder FL0020109,Administrative - Formal,Closed,CWA,OTHER,,08/20/2021,0,0,0,1
FL-21-0450,Emerald Coast Granite Company,Administrative - Formal,Closed,CWA,OTHER,,06/24/2021,0,0,0,1
FL-21-0475,"Kinder Morgan Port Sutton Terminal, LLC FL0122904",Administrative - Formal,Final Order Issued,CWA,OTHER,,07/07/2021,0,0,0,1
FL-21-0490,Ryan's Pond,Administrative - Formal,Final Order Issued,CWA,OTHER,,06/03/2021,0,0,0,1
FL-21-0521,City of Capr Canaveral FL0020541,Administrative - Formal,Final Order Issued,CWA,OTHER,,11/12/2021,0,0,0,1
FL-21-0522,"City of Clearwater Utilities FL0021857, FL0128937, FL0021865 and FL0186261",Administrative - Formal,Final Order Issued,CWA,OTHER,,07/16/2021,0,0,0,1
FL-21-0535,"Foley Cellulose, LLC  FL0000876",Administrative - Formal,Final Order Issued,CWA,OTHER,,08/08/2022,0,0,0,1
FL-21-0545,Blue Heron WWTF FL0103349,Administrative - Formal,Closed,CWA,OTHER,,09/10/2021,0,0,0,1
FL-21-0558,City of Orlando Iron Bridge FL0037966,Administrative - Formal,Final Order Issued,CWA,OTHER,,08/23/2021,0,0,0,1
FL-21-0609,"Diamond R Fertilizer Co., Inc.",Administrative - Formal,Final Order Issued,CWA,OTHER,,02/17/2022,0,0,0,1
FL-21-0638,Telogia Power LLC FL0039951,Administrative - Formal,Final Order Issued,CWA,OTHER,,01/28/2022,0,0,0,1
FL-21-0663,Mid-County WWTP FL0034789,Administrative - Formal,Closed,CWA,OTHER,,08/16/2021,0,0,0,1
FL-21-0734,City of Port Orange FL0020559,Administrative - Formal,Final Order Issued,CWA,OTHER,,09/29/2021,0,0,0,1
FL-21-0750,"Seacoast Utility Authority Palm Beach County, FL0038768",Administrative - Formal,Final Order Issued,CWA,OTHER,,07/14/2022,0,0,0,1
FL-21-0791,Bulk Transport Company East Inc.,Administrative - Formal,Closed,CWA,OTHER,,10/04/2021,0,0,0,1
FL-21-0906,East Putnam County RO WTP FL0433365,Administrative - Formal,Final Order Issued,CWA,OTHER,,11/08/2021,0,0,0,1
FL-21-0939,"Daytona Beach/Westside Regional WRF, FL0111392",Administrative - Formal,Final Order Issued,CWA,OTHER,,10/27/2021,0,0,0,1
FL-21-0970,City of Naples Public Works Utility Division FL0026271,Administrative - Formal,Closed,CWA,OTHER,,10/28/2021,0,0,0,1
FL-21-1006,Blount Island Marine Terminal & Talleyrand Marine Terminal,Administrative - Formal,Final Order Issued,CWA,OTHER,,02/22/2022,0,0,0,1
FL-21-1007,Dames Point Marine Terminal,Administrative - Formal,Final Order Issued,CWA,OTHER,,02/22/2022,0,0,0,1
FL-21-1018,Wawa Baymeadows Grove Park FLR20EO49,Administrative - Formal,Final Order Issued,CWA,OTHER,,12/17/2021,0,0,0,1
FL-21-1024,Wekiva Hunt Club WWTF FL0036251,Administrative - Formal,Final Order Issued,CWA,OTHER,,02/04/2022,0,0,0,1
FL-21-1081,Rice Creek RV Resort WWTF FL0122076,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/10/2022,0,0,0,1
FL-21-1099,T & T Shell Diesel Plaza FLG914911,Administrative - Formal,Closed,CWA,OTHER,,11/08/2021,0,0,0,1
FL-21-1107,New Smyrna Beach WRF FL0172090,Administrative - Formal,Closed,CWA,OTHER,,01/05/2022,0,0,0,1
FL-21-1129,City of Wewahitchka WWTP FL0020125,Administrative - Formal,Final Order Issued,CWA,OTHER,,12/06/2021,0,0,0,1
FL-21-1162,"Collier North County WRF, FL0141399-FL0141356",Administrative - Formal,Final Order Issued,CWA,OTHER,,12/17/2021,0,0,0,1
FL-21-1222,TECO H.L. Culbreath Bayside Power Station FL0000809,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/04/2022,0,0,0,1
FL-21-1916,"Bunnell WWTF, FL0020907",Administrative - Formal,Final Order Issued,CWA,OTHER,,06/28/2022,0,0,0,1
FL-22-0041,BCUD South Central Regional Facility FL0102679,Administrative - Formal,Closed,CWA,OTHER,,01/26/2022,0,0,0,1
FL-22-0165,Noma WWTP FL0040207,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/17/2022,0,0,0,1
FL-22-0255,City of Palmetto WWTP FL0020401,Administrative - Formal,Final Order Issued,CWA,OTHER,,02/25/2022,0,0,0,1
FL-22-0267,Altamonte Springs WRF FL0033251,Administrative - Formal,Final Order Issued,CWA,OTHER,,03/11/2022,0,0,0,1
FL-22-0471,William E. Dunn WWTF FL0128775,Administrative - Formal,Final Order Issued,CWA,OTHER,,05/04/2022,0,0,0,1
FL-22-1893,Town of Century WWTF FL0032468,Administrative - Formal,Final Order Issued,CWA,OTHER,,06/24/2022,0,0,0,1
FL-22-1916,"Bunnell WWTF, FL0020907",Administrative - Formal,Final Order Issued,CWA,OTHER,,06/28/2022,0,0,0,1
FL-FL0036251,Utilities Inc. Wekiva Hunt Club,Administrative - Formal,Closed,CWA,OTHER,,03/07/2018,0,24372,0,1
FL-FL0040622,BCUD South Beaches,Administrative - Formal,Closed,CWA,OTHER,,12/10/2020,0,184130,0,2
FL-FLR05H021,"Meridian Marina & Yacht Club of Palm City, LLC",Administrative - Formal,Closed,CWA,OTHER,,03/04/2015,0,0,0,1
FL-N00000001,COASTAL TUG AND BARGE (Permit FLU011708) Penalty Ao Issued By State,Administrative - Formal,Final Order Issued,CWA,CWA,03/25/2002,03/25/2002,0,0,0,1
FL-N00000002,COMMUNITY ASPHALT CORPORATION (Permit FLU020315) Penalty Ao Issued By State,Administrative - Formal,Closed,CWA,CWA,03/25/2002,03/25/2002,0,0,0,1
